Energie/eV,PDS-Betrag,Phase/°,Trans_korr,Ref/V,X-Wert/V,Y-Wert/V,Trans/V,Reflexion/V,Refl_korr
0.7709,2.40E-05,-3.74E-01,9.61E-01,2.99E-03,8.67E-06,-2.88E-08,1.01E-01,3.33E-03,8.31E-02
0.7509,2.28E-05,-4.83E+00,9.69E-01,2.99E-03,7.92E-06,-7.87E-07,9.88E-02,3.28E-03,7.01E-02
0.7309,2.55E-05,2.71E+00,9.73E-01,2.90E-03,8.50E-06,4.04E-07,9.44E-02,3.15E-03,8.06E-02
0.7109,2.87E-05,1.02E+00,9.88E-01,2.73E-03,8.86E-06,1.61E-07,8.88E-02,2.94E-03,8.84E-02
0.6909,3.31E-05,-7.23E-02,9.80E-01,2.47E-03,9.22E-06,-5.59E-08,8.09E-02,2.69E-03,7.72E-02
0.6709,4.20E-05,2.25E+01,9.74E-01,2.09E-03,9.21E-06,3.94E-06,6.87E-02,2.26E-03,6.94E-02
0.6534,3.59E-05,1.94E+01,9.70E-01,2.01E-03,7.35E-06,2.66E-06,6.63E-02,2.16E-03,6.36E-02
0.6514,3.59E-05,-5.55E+00,9.69E-01,2.07E-03,8.45E-06,-6.68E-07,6.84E-02,2.20E-03,5.89E-02
0.6314,3.27E-05,4.31E+00,9.53E-01,2.24E-03,8.41E-06,6.52E-07,7.44E-02,2.37E-03,6.94E-02
0.6114,2.87E-05,1.35E+01,9.37E-01,2.09E-03,6.76E-06,1.62E-06,6.83E-02,2.20E-03,6.51E-02
0.6014,2.90E-05,2.13E+01,9.20E-01,1.98E-03,6.14E-06,2.38E-06,6.40E-02,2.09E-03,5.40E-02
0.5914,2.82E-05,4.34E+01,9.21E-01,1.86E-03,4.39E-06,3.90E-06,5.99E-02,1.96E-03,5.90E-02
0.5814,2.70E-05,2.74E+01,9.20E-01,1.73E-03,4.67E-06,2.23E-06,5.54E-02,1.82E-03,5.17E-02
0.5714,2.04E-05,1.80E+01,9.30E-01,1.58E-03,3.22E-06,1.29E-06,5.11E-02,1.69E-03,5.48E-02
0.5614,2.40E-05,1.50E+01,9.40E-01,1.41E-03,3.63E-06,1.03E-06,4.58E-02,1.49E-03,5.00E-02
0.5514,3.15E-05,1.27E+01,9.40E-01,1.28E-03,4.43E-06,1.01E-06,4.14E-02,1.37E-03,5.13E-02
0.5414,2.58E-05,2.53E+01,9.38E-01,1.17E-03,3.07E-06,1.39E-06,3.81E-02,1.26E-03,5.41E-02
0.5314,3.36E-05,5.18E+00,9.46E-01,1.07E-03,3.71E-06,5.55E-07,3.50E-02,1.15E-03,7.22E-02
0.5214,3.86E-05,-5.67E+01,9.46E-01,9.60E-04,-5.00E-07,-3.41E-06,3.14E-02,1.05E-03,8.00E-02
0.5114,3.51E-05,2.32E+01,9.24E-01,8.52E-04,2.99E-06,1.30E-06,2.75E-02,9.38E-04,8.99E-02
0.5014,4.65E-05,3.85E+01,9.30E-01,7.34E-04,3.18E-06,1.78E-06,2.36E-02,8.05E-04,8.31E-02
0.4914,2.91E-05,9.99E+01,8.79E-01,6.15E-04,-3.21E-07,1.94E-06,1.87E-02,6.66E-04,7.68E-02
0.4814,6.93E-05,1.17E+02,7.78E-01,4.11E-04,-1.44E-06,2.40E-06,1.08E-02,4.27E-04,4.25E-02
0.4714,1.31E-04,1.33E+02,6.36E-01,3.28E-04,-3.71E-06,3.73E-06,6.98E-03,3.16E-04,-2.73E-02
